id,name,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,availability_365,number_of_reviews,review_scores_rating
28086524,Rental unit in Greater London · ★4.89 · 1 bedroom · 1 bed · 1 bath,13770205,Stephen,01-04-2014,"London, United Kingdom",100%,99%,1,43,1,Southwark,Entire home/apt,2,1,$111.00,323,44,4.89
28301950,Home in London · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,206584377,Joy And John,01-08-2018,"England, United Kingdom",N/A,N/A,0,2,1,Hammersmith and Fulham,Private room,2,1,$40.00,0,46,4.91
28335900,Rental unit in Greater London · ★4.85 · 4 bedrooms · 5 beds · 2 baths,19583485,Lisa,06-08-2014,"St Albans, United Kingdom",100%,100%,1,25,1,Camden,Entire home/apt,7,5,$313.00,101,340,4.85
24478488,Condo in London · ★4.83 · 1 bedroom · 1 bed · 1 bath,65616012,Eunice,03-04-2016,"London, United Kingdom",100%,72%,1,3,1,Greenwich,Entire home/apt,2,1,$79.00,341,41,4.83
28337718,Rental unit in London · ★4.83 · 3 bedrooms · 1 bed · 1 shared bath,213978953,Melissa,06-09-2018,"England, United Kingdom",100%,58%,1,4,1,Camden,Private room,1,1,$90.00,363,30,4.83
28603346,Home in Greater London · 1 bedroom · 1 bed · 1 shared bath,70397769,Rosy,04-05-2016,"London, United Kingdom",N/A,100%,0,3,1,Hackney,Private room,1,1,$28.00,0,2,5
24668915,Home in Greater London · ★4.96 · 4 bedrooms · 4 beds · 4 baths,186015948,Katie,24-04-2018,"London, United Kingdom",83%,100%,0,2,1,Wandsworth,Entire home/apt,8,4,$350.00,52,24,4.96
28608405,Rental unit in Greater London · 1 bedroom · 1 bed · 1 bath,215913703,Syeda,17-09-2018,,N/A,N/A,0,1,0,Barking and Dagenham,Entire home/apt,2,1,,0,2,4.5
24670747,Rental unit in Greater London · ★4.40 · 2 bedrooms · 4 beds · 2 baths,5628346,Hayley,26-03-2013,"Bath, United Kingdom",100%,100%,0,64,1,Tower Hamlets,Entire home/apt,8,4,$244.00,157,146,4.4
28632980,Home in Greater London · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,9367331,Tracy,11-10-2013,"London, United Kingdom",100%,89%,1,5,1,Barnet,Private room,2,1,$48.00,180,34,4.68
24671835,Rental unit in Greater London · ★4.49 · 2 bedrooms · 4 beds · 2 baths,5628346,Hayley,26-03-2013,"Bath, United Kingdom",100%,100%,0,64,1,Tower Hamlets,Entire home/apt,8,4,$244.00,179,145,4.49
24816985,Rental unit in Greater London · Studio · 1 bed · 1 bath,167934434,Laurianne,15-01-2018,"England, United Kingdom",N/A,N/A,0,1,0,Haringey,Entire home/apt,1,1,,0,1,5
28655804,Home in Greater London · ★3.0 · 1 bedroom · 1 bed · 1 shared bath,86838691,Eric,30-07-2016,"London, United Kingdom",100%,50%,0,1,1,Croydon,Private room,2,1,$38.00,0,3,3
24818393,Rental unit in Greater London · ★4.48 · 2 bedrooms · 2 beds · 2 baths,28735954,Lara,04-03-2015,"Zürich, Switzerland",100%,46%,0,10,1,Camden,Entire home/apt,4,2,$250.00,78,25,4.48
28708094,Boutique hotel in Greater London · 1 bedroom · 1 bed · 1 private bath,192629457,Nina,31-05-2018,,N/A,0%,0,2,0,Bexley,Private room,2,1,,0,0,
24833230,Townhouse in Greater London · ★5.0 · 3 bedrooms · 1 bed · 2.5 shared baths,3256838,Ken,14-08-2012,"Los Angeles, CA",100%,92%,0,6,0,Brent,Private room,2,1,$60.00,0,3,5
24862711,Rental unit in Greater London · 2 bedrooms · 3 beds · 1 bath,10027408,Alyona,15-11-2013,"London, United Kingdom",N/A,N/A,0,1,1,Barnet,Entire home/apt,5,3,$50.00,0,0,
29129550,Rental unit in Greater London · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,119329451,Jan,05-03-2017,"England, United Kingdom",100%,100%,0,1,1,Lambeth,Private room,2,1,$69.00,61,61,4.98
24864493,Home in Greater London · ★4.67 · 2 bedrooms · 1 bed · 1 shared bath,32525694,Xenia,03-05-2015,"England, United Kingdom",N/A,100%,0,6,0,Ealing,Private room,2,1,$45.00,0,6,4.67
29136241,Rental unit in Greater London · 1 bedroom · 1 bed · 1 shared bath,219563170,Windsor,09-10-2018,"Dagenham, United Kingdom",N/A,N/A,0,1,1,Barking and Dagenham,Private room,1,1,$30.00,0,0,
24925307,Rental unit in Greater London · 1 bedroom · 1 bed · 1 shared bath,102085450,Giulia,01-11-2016,"London, United Kingdom",N/A,N/A,0,4,1,Lewisham,Private room,1,1,$25.00,0,1,4
29183038,Rental unit in Greater London · ★4.80 · 1 bedroom · 1 bed · 1 private bath,162291634,Akgun,11-12-2017,"England, United Kingdom",100%,80%,1,4,1,Camden,Private room,1,1,$120.00,357,10,4.8
24927575,Condo in  London · ★4.50 · 1 bedroom · 2 beds · 1 bath,139900567,Janet,11-07-2017,"England, United Kingdom",100%,91%,0,6,1,Hackney,Entire home/apt,4,2,$126.00,341,68,4.5
29200784,Rental unit in Greater London · ★4.90 · 2 bedrooms · 2 beds · 2 baths,8937405,Sanya,19-09-2013,"London, United Kingdom",100%,99%,1,9,1,Haringey,Entire home/apt,4,2,$251.00,0,20,4.9
25099748,Rental unit in Greater London · ★4.80 · 1 bedroom · 1 bed · 1 bath,23150670,Duncan,30-10-2014,"London, United Kingdom",N/A,N/A,0,1,1,Southwark,Entire home/apt,2,1,$110.00,0,10,4.8
29230752,Rental unit in London · ★4.93 · 1 bedroom · 1 bed · 1 private bath,1951049,Claudia,18-03-2012,"London, United Kingdom",100%,62%,0,3,1,Hackney,Private room,2,1,$75.00,339,44,4.93
29233083,Rental unit in Greater London · ★4.55 · 1 bedroom · 2 beds · 1 bath,83740964,Ali,14-07-2016,"London, United Kingdom",91%,46%,0,144,1,Westminster,Entire home/apt,3,2,$119.00,0,11,4.55
25134996,Rental unit in Greater London · ★4.87 · 1 bedroom · 1 bed · 1 bath,20349225,Sophie,21-08-2014,"London, United Kingdom",N/A,N/A,0,1,1,Lewisham,Entire home/apt,2,1,$60.00,0,15,4.87
29459245,Home in Greater London · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,103373872,Michelle,11-11-2016,,100%,99%,0,7,1,Croydon,Private room,2,1,$31.00,70,38,4.58
29646145,Rental unit in Greater London · 1 bedroom · 1 bed · 1 bath,34353560,Chloe,27-05-2015,"London, United Kingdom",N/A,N/A,0,2,1,Wandsworth,Entire home/apt,2,1,$120.00,0,0,
25137087,Rental unit in Greater London · 1 bedroom · 1 bed · 1 private bath,189982019,A,16-05-2018,,N/A,N/A,0,1,0,Barking and Dagenham,Private room,1,1,,0,0,
29672936,Rental unit in Greater London · ★4.22 · 1 bedroom · 1 bed · 0 baths,209926989,Marco,16-08-2018,,N/A,89%,0,3,1,Camden,Entire home/apt,5,1,$157.00,51,9,4.22
25323749,Rental unit in Central London  · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,48762974,Viola,11-11-2015,"London, United Kingdom",100%,84%,0,2,1,Hackney,Private room,1,1,$60.00,350,95,4.72
29680726,Rental unit in Greater London · 1 bedroom · 1 bed · 1 bath,46578783,Kapila,14-10-2015,"Paris, France",N/A,N/A,0,6,1,Kensington and Chelsea,Entire home/apt,4,1,$85.00,0,2,5
29694637,Bed and breakfast in Greater London · ★4.83 · 1 bedroom · 2 beds · 1 shared bath,27985376,Juan,19-02-2015,"London, United Kingdom",97%,58%,1,20,1,Westminster,Private room,3,2,$100.00,365,23,4.83
29697128,Home in Greater London · ★5.0 · 2 bedrooms · 3 beds · 1 bath,223476947,GuestReady,31-10-2018,,100%,89%,0,1,0,Waltham Forest,Entire home/apt,4,3,$140.00,95,9,5
25376696,Guest suite in Greater London · ★4.88 · 1 bedroom · 2 beds · 1 bath,191596365,Gill,25-05-2018,"Coulsdon, United Kingdom",100%,100%,1,1,1,Croydon,Entire home/apt,2,2,$90.00,136,104,4.88
29871463,Rental unit in Greater London · ★4.83 · 1 bedroom · 2 beds · 1 bath,224637829,Robert,07-11-2018,"England, United Kingdom",100%,100%,0,3,1,Ealing,Entire home/apt,4,2,$118.00,289,46,4.83
25377326,Rental unit in Greater London · ★4.84 · 1 bedroom · 2 beds · 1 bath,2951231,Binit,16-07-2012,"London, United Kingdom",100%,74%,1,10,1,Islington,Entire home/apt,4,2,$275.00,329,83,4.84
29935039,Rental unit in Greater London · 1 bedroom · 1 bed · 1 shared bath,105473690,James,28-11-2016,"London, United Kingdom",N/A,N/A,0,2,0,Hounslow,Private room,2,1,$55.00,0,0,
25570245,Rental unit in Greater London · ★4.37 · 2 bedrooms · 2 beds · 1 bath,28820321,Veronica,05-03-2015,"London, United Kingdom",99%,99%,0,812,1,Brent,Entire home/apt,4,2,$80.00,0,30,4.37
25859663,Rental unit in Greater London · ★3.95 · 1 bedroom · 2 beds · 1 bath,21867370,Robert,28-09-2014,"London, United Kingdom",100%,97%,0,63,1,Southwark,Entire home/apt,4,2,$80.00,20,39,3.95
29956729,Home in Greater London · ★4.65 · 1 bedroom · 1 bed · 1 private bath,170574370,Alex,29-01-2018,"England, United Kingdom",N/A,N/A,0,1,1,Camden,Private room,2,1,$200.00,0,23,4.65
29959358,Serviced apartment in London · 1 bedroom · 1 bed · 1 bath,224967268,Jawad,09-11-2018,"England, United Kingdom",0%,27%,0,32,1,City of London,Entire home/apt,2,1,$200.00,310,0,
25878020,Rental unit in Greater London · ★5.0 · Studio · 1 bed · 1 shared bath,75230582,Alice,01-06-2016,"Lancaster, United Kingdom",N/A,N/A,0,1,1,Waltham Forest,Private room,2,1,$127.00,0,4,5
30106975,Condo in Greater London · ★4.85 · 2 bedrooms · 2 beds · 1 bath,226220209,Ade,17-11-2018,"London, United Kingdom",100%,86%,0,2,1,Newham,Entire home/apt,4,2,$160.00,264,27,4.85
25892378,Rental unit in London · ★4.35 · 3 bedrooms · 4 beds · 2 baths,192814000,Joanne,01-06-2018,,86%,100%,0,3,1,Camden,Entire home/apt,6,4,$211.00,39,20,4.35
30118622,Home in Greater London · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,190712221,Karine,21-05-2018,"England, United Kingdom",100%,81%,0,14,1,Brent,Private room,1,1,$50.00,51,56,4.88
30118891,Rental unit in London · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,223478046,Rodrigo,31-10-2018,"England, United Kingdom",N/A,N/A,0,3,0,Lambeth,Private room,2,1,$221.00,364,12,4.75
30137677,Rental unit in Greater London · ★4.66 · 2 bedrooms · 2 beds · 2 baths,28735954,Lara,04-03-2015,"Zürich, Switzerland",100%,46%,0,10,1,Camden,Entire home/apt,4,2,$450.00,78,29,4.66
30165120,Rental unit in Greater London · 2 bedrooms · 3 beds · 1 bath,29024847,Sarah,09-03-2015,United Kingdom,100%,77%,0,85,1,Westminster,Entire home/apt,5,3,$350.00,337,1,5
30317505,Townhouse in Greater London · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,18846179,Geri,25-07-2014,"London, United Kingdom",40%,15%,0,5,1,Lambeth,Private room,2,1,$53.00,362,17,4.88
25938949,Rental unit in Greater London · 3 bedrooms · 4 beds · 2 baths,126447838,Linn,18-04-2017,"London, United Kingdom",N/A,N/A,0,1,0,Westminster,Entire home/apt,6,4,,0,2,5
30499158,Rental unit in Greater London · Studio · 1 bed · 1 bath,202105019,Marisol,13-07-2018,"England, United Kingdom",N/A,N/A,0,2,1,Haringey,Entire home/apt,1,1,$32.00,0,0,
30522653,Rental unit in Greater London · ★4.61 · 1 bedroom · 1 bed · 1 bath,227824295,Myriam,27-11-2018,,100%,100%,0,2,1,Hackney,Entire home/apt,2,1,$111.00,350,23,4.61
25942776,Townhouse in Greater London · 3 bedrooms · 3 beds · 2 baths,56445475,Lisa And Richard,28-01-2016,United Kingdom,N/A,N/A,0,2,0,Islington,Entire home/apt,6,3,$304.00,0,0,
30536031,Rental unit in Greater London · ★4.42 · 1 bedroom · 1 bed · 1 bath,210062996,James,17-08-2018,"England, United Kingdom",N/A,0%,0,2,0,Lewisham,Entire home/apt,2,1,$118.00,263,24,4.42
26069352,Rental unit in Greater London · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,3266784,Kaitlynn,15-08-2012,"London, United Kingdom",N/A,N/A,0,3,1,Hackney,Entire home/apt,2,1,$42.00,0,7,4.86
30551066,Home in Greater London · 1 bedroom · 1 bed · 1 shared bath,228398041,照宸,30-11-2018,"Taipei, Taiwan",N/A,N/A,0,2,0,Haringey,Private room,2,1,,0,2,4.5
26148264,Condo in Greater London · ★4.33 · 1 bedroom · 1 bed · 1 bath,40885230,Jesse,08-08-2015,"London, United Kingdom",N/A,N/A,0,1,1,Brent,Entire home/apt,2,1,$35.00,0,3,4.33
30688208,Home in Greater London · ★4.81 · 1 bedroom · 1 bed · 2.5 shared baths,226990571,Constance,22-11-2018,,N/A,N/A,0,4,1,Merton,Private room,1,1,$25.00,0,16,4.81
30688229,Rental unit in Greater London · ★5.0 · 1 bedroom · 1 bed · 1 bath,2694559,Zuzanna,20-06-2012,"Warsaw, Poland",N/A,N/A,0,1,1,Westminster,Entire home/apt,3,1,$136.00,0,6,5
26154524,Rental unit in Greater London · ★4.83 · 2 bedrooms · 2 beds · 1 bath,7892795,Tess,17-12-2015,"London, United Kingdom",N/A,N/A,0,4,1,Enfield,Entire home/apt,4,2,$80.00,0,6,4.83
30689069,Rental unit in Greater London · ★3.67 · 1 bedroom · 1 bed · 1 shared bath,35806043,Joseph,14-06-2015,"London, United Kingdom",N/A,N/A,0,11,1,Hackney,Private room,5,1,$39.00,0,6,3.67
26180969,Rental unit in Greater London · ★4.91 · 1 bedroom · 3 beds · 1 bath,61378491,Eric,03-03-2016,"Bournemouth, United Kingdom",100%,100%,0,1,1,Lambeth,Entire home/apt,2,3,$75.00,100,35,4.91
26212949,Rental unit in Greater London · ★4.83 · 2 bedrooms · 2 beds · 1 bath,89818759,Ella,14-08-2016,"London, United Kingdom",N/A,N/A,0,1,0,Westminster,Entire home/apt,2,2,$95.00,0,6,4.83
30704397,Rental unit in Greater London · 1 bedroom · 1 bed · 1 shared bath,15307302,Sophie,11-09-2015,"East End, United Kingdom",N/A,N/A,0,2,1,Hackney,Private room,2,1,$60.00,0,2,5
30876247,Home in Greater London · 1 bedroom · 1 bed · 1 shared bath,4960260,Jean,04-02-2013,"London, United Kingdom",N/A,N/A,0,1,1,Hackney,Private room,2,1,$50.00,0,1,5
26218369,Condo in Greater London · ★4.76 · 1 bedroom · 2 beds · 1 bath,95837636,Mia,19-09-2016,"London, United Kingdom",100%,90%,0,1,1,Tower Hamlets,Entire home/apt,3,2,$85.00,0,23,4.76
26269671,Serviced apartment in Greater London · ★4.79 · 2 bedrooms · 2 beds · 2 baths,34391614,Mide,27-05-2015,"London, United Kingdom",N/A,100%,0,1,1,Hounslow,Entire home/apt,4,2,$160.00,302,29,4.79
30903905,Rental unit in Greater London · 3 bedrooms · 2 beds · 1 bath,4230183,Sarah And  Dominic,24-11-2012,"London, United Kingdom",N/A,N/A,0,4,1,Haringey,Entire home/apt,6,2,$137.00,0,1,5
30923834,Bed and breakfast in Greater London · ★4.76 · 2 bedrooms · 2 beds · 1 private bath,49983495,Z & Alex,27-11-2015,"London, United Kingdom",97%,96%,0,4,1,Tower Hamlets,Hotel room,3,2,$197.00,49,352,4.76
26273025,Rental unit in Greater London · ★4.92 · 2 bedrooms · 2 beds · 1 bath,6554264,Freya,24-05-2013,"London, United Kingdom",N/A,N/A,0,4,1,Lewisham,Entire home/apt,4,2,$100.00,0,13,4.92
30982988,Home in Greater London · ★5.0 · 3 bedrooms · 6 beds · 2 baths,45098773,Shaun,25-09-2015,"London, United Kingdom",100%,100%,0,1,1,Lewisham,Entire home/apt,8,6,$350.00,88,12,5
26522431,Rental unit in London · ★4.89 · 1 bedroom · 1 bed · 1 bath,18876265,Aaron,25-07-2014,"Burgess Hill, United Kingdom",N/A,N/A,0,1,1,Tower Hamlets,Entire home/apt,2,1,$55.00,0,9,4.89
26646714,Rental unit in Greater London · Studio · 1 bed · 1 private bath,160573561,Victoria,29-11-2017,"Buonconvento, Italy",N/A,N/A,0,2,1,Hammersmith and Fulham,Private room,1,1,$100.00,0,1,5
31169107,Rental unit in Greater London · ★4.55 · 1 bedroom · 2 beds · 1 bath,232979623,Anna,28-12-2018,"England, United Kingdom",N/A,0%,0,2,1,Tower Hamlets,Entire home/apt,3,2,$130.00,0,22,4.55
26647616,Condo in Greater London · 1 bedroom · 1 bed · 1 bath,192930560,Abdullah,01-06-2018,"London, United Kingdom",N/A,N/A,0,2,0,Merton,Entire home/apt,2,1,$350.00,270,0,
26731405,Rental unit in Greater London · 2 bedrooms · 1 bed · 1 bath,4113867,Dimitri,10-11-2012,"London, United Kingdom",N/A,N/A,0,2,1,Barnet,Private room,2,1,$40.00,0,0,
26763789,Home in Greater London · ★4.76 · 1 bedroom · 1 bed · 1.5 shared baths,66529848,Christine,10-04-2016,,100%,82%,1,3,0,Sutton,Private room,1,1,$38.00,18,41,4.76
31182349,Rental unit in Hampton Hill · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,140132952,Victoria,12-07-2017,"London, United Kingdom",100%,100%,0,1,0,Richmond upon Thames,Private room,1,1,$48.00,88,26,4.81
31187921,Rental unit in Greater London · ★5.0 · 1 bedroom · 2 beds · 1 bath,101583154,Scott,28-10-2016,"London, United Kingdom",N/A,100%,0,3,1,Greenwich,Entire home/apt,4,2,$108.00,0,19,5
31251132,Home in Greater London · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,194664189,Zu,10-06-2018,"London, United Kingdom",N/A,N/A,0,2,0,Haringey,Private room,1,1,,0,3,5
26948405,Rental unit in London · ★4.93 · 2 bedrooms · 2 beds · 2 baths,142448518,Serge,25-07-2017,"England, United Kingdom",100%,100%,0,4,1,Newham,Entire home/apt,4,2,$170.00,1,44,4.93
26993140,Home in Greater London · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,184560148,Antonio,16-04-2018,"England, United Kingdom",90%,80%,1,1,1,Greenwich,Private room,1,1,$42.00,226,36,4.81
31478341,Guesthouse in London · ★4.74 · Studio · 2 beds · 1 bath,1933331,Pixie,16-03-2012,"London, United Kingdom",100%,95%,0,3,1,Waltham Forest,Entire home/apt,4,2,$150.00,158,42,4.74
31493293,Rental unit in Greater London · ★4.40 · 1 bedroom · 1 bed · 1 bath,70835689,Chris,07-05-2016,"England, United Kingdom",100%,58%,0,9,1,Southwark,Entire home/apt,3,1,$89.00,0,4,4.4
27014274,Rental unit in Greater London · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,7711285,Malou,25-07-2013,"England, United Kingdom",N/A,N/A,0,2,1,Lambeth,Private room,2,1,$30.00,0,8,4.5
31496966,Rental unit in Greater London · ★4.55 · 1 bedroom · 4 beds · 1 bath,17439429,Clara,30-06-2014,"London, United Kingdom",100%,67%,0,4,1,Hammersmith and Fulham,Entire home/apt,4,4,$120.00,0,20,4.55
27021525,Rental unit in Greater London · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,4792322,Frances,21-01-2013,"London, United Kingdom",N/A,N/A,0,2,1,Wandsworth,Private room,2,1,$26.00,0,9,4.89
31516662,Rental unit in Greater London · ★4.91 · 1 bedroom · 1 bed · 1 private bath,12752331,Mo,03-03-2014,"London, United Kingdom",N/A,N/A,0,2,0,Camden,Private room,2,1,$59.00,0,11,4.91
27161626,Condo in Richmond · 1 bedroom · 2 beds · 1 bath,46718739,Ac,16-10-2015,"London, United Kingdom",N/A,N/A,0,2,1,Richmond upon Thames,Entire home/apt,4,2,$80.00,0,0,
27177221,Home in Greater London · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,2900037,Jaz,11-07-2012,"London, United Kingdom",N/A,N/A,0,3,1,Lambeth,Private room,1,1,$27.00,0,6,5
31527556,Rental unit in Greater London · 1 bedroom · 1 bed · 1 bath,236262971,Zaid,13-01-2019,,N/A,N/A,0,1,0,Lambeth,Entire home/apt,2,1,$50.00,0,0,
31533142,Home in London -Uk · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,234632869,Marcia,05-01-2019,"London, United Kingdom",100%,100%,1,1,1,Brent,Private room,2,1,$50.00,19,32,4.88
27187744,Rental unit in London · 1 bedroom · 1 bed · 1 bath,85611996,Silvia,24-07-2016,"London, United Kingdom",N/A,N/A,0,3,1,Westminster,Entire home/apt,2,1,$105.00,0,0,
31564068,Rental unit in Close Sutton · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,236588672,Claire,14-01-2019,"Sutton, United Kingdom",N/A,N/A,0,3,0,Sutton,Private room,2,1,$19.00,0,12,4.92
27360318,Rental unit in Greater London · 2 bedrooms · 2 beds · 1 bath,205633192,Sam,28-07-2018,"England, United Kingdom",N/A,N/A,0,3,0,Ealing,Entire home/apt,4,2,,0,2,5
31579719,Home in Greater London · 1 bedroom · 1 shared bath,234962217,Valeria,07-01-2019,,N/A,N/A,0,2,0,Brent,Shared room,1,,$250.00,0,0,
31741454,Rental unit in  London · ★4.79 · 2 bedrooms · 3 beds · 1 bath,207755710,Marcus,06-08-2018,,100%,87%,0,3,1,Southwark,Entire home/apt,6,3,$387.00,63,19,4.79
27390679,Rental unit in Greater London · ★4.79 · 3 bedrooms · 4 beds · 2 baths,48402864,Claire,07-11-2015,"London, United Kingdom",N/A,N/A,0,1,1,Greenwich,Entire home/apt,6,4,$78.00,0,24,4.79
31776785,Rental unit in Greater London · ★4.22 · 2 bedrooms · 2 beds · 1 bath,238226588,Paris,22-01-2019,"London, United Kingdom",N/A,N/A,0,1,0,Kensington and Chelsea,Entire home/apt,4,2,,0,9,4.22
27513985,Condo in Greater London · ★4.90 · 1 bedroom · 1 bed · 1 private bath,26777809,Fen-Ni,27-01-2015,"London, United Kingdom",N/A,64%,0,9,1,Tower Hamlets,Private room,2,1,$91.00,0,21,4.9
31777113,Rental unit in Greater London · ★4.81 · 2 bedrooms · 2 beds · 2 baths,73564667,Gianni,23-05-2016,"London, United Kingdom",100%,100%,0,46,1,Westminster,Entire home/apt,4,2,$382.00,198,36,4.81
27515809,Rental unit in Greater London · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,35127413,Anna-Katharina,06-06-2015,"London, United Kingdom",N/A,N/A,0,1,1,Tower Hamlets,Private room,1,1,$27.00,0,7,5
31790343,Rental unit in Greater London · ★4.25 · 1 bedroom · 2 beds · 1 bath,42653212,Nell Gwynn,27-08-2015,"London, United Kingdom",96%,88%,0,55,1,Kensington and Chelsea,Entire home/apt,4,2,$234.00,355,8,4.25
32064584,Rental unit in Greater London · ★4.40 · 1 bedroom · 3 beds · 2 shared baths,83740964,Ali,14-07-2016,"London, United Kingdom",91%,46%,0,144,1,Westminster,Private room,3,3,$69.00,0,40,4.4
27517568,Home in Greater London · ★4.35 · 1 bedroom · 1 bed · 1 shared bath,111097364,Fatos,12-01-2017,"London, United Kingdom",100%,87%,0,3,1,Newham,Private room,1,1,$30.00,365,17,4.35
32135767,Rental unit in Greater London · 1 bedroom · 2 beds · 1 bath,25140213,Hacéne,23-12-2014,"Mons, Belgium",N/A,N/A,0,1,1,Hackney,Entire home/apt,2,2,$65.00,0,0,
27540320,Rental unit in Greater London · ★4.76 · 2 bedrooms · 4 beds · 1 bath,207755710,Marcus,06-08-2018,,100%,87%,0,3,1,Southwark,Entire home/apt,6,4,$194.00,130,94,4.76
27566389,Rental unit in Greater London · 1 bedroom · 1 bed · 1 shared bath,105369611,Aslan,27-11-2016,"London, United Kingdom",N/A,N/A,0,1,0,Greenwich,Private room,2,1,,0,2,5
32713052,Rental unit in London  · ★5.0 · 2 bedrooms · 4 beds · 2 baths,102118992,John,01-11-2016,"London, United Kingdom",N/A,N/A,0,7,1,Kensington and Chelsea,Entire home/apt,6,4,$199.00,0,4,5
32720242,Home in London  · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,172593541,Genete,09-02-2018,"London, United Kingdom",100%,100%,0,3,0,Brent,Private room,1,1,$35.00,127,6,4.67
27691160,Rental unit in Greater London · ★4.95 · 1 bedroom · 1 bed · 1 bath,8325501,Claire,22-08-2013,"London, United Kingdom",N/A,N/A,0,3,0,Enfield,Entire home/apt,2,1,$85.00,0,21,4.95
32910661,Rental unit in Greater London · ★5.0 · 1 bedroom · 1 bed · 1 bath,228928499,Beatrix,03-12-2018,"London, United Kingdom",100%,98%,1,510,1,Kensington and Chelsea,Entire home/apt,2,1,$95.00,127,7,5
27712862,Rental unit in Greater London · ★4.85 · 2 bedrooms · 3 beds · 2 baths,4132677,Gordana,12-11-2012,"London, United Kingdom",100%,96%,1,12,1,Westminster,Entire home/apt,6,3,$366.00,215,55,4.85
32912438,Rental unit in Greater London · ★4.96 · 1 bedroom · 1 bed · 1 private bath,1114356,James,05-09-2011,"London, United Kingdom",N/A,100%,0,3,1,Westminster,Private room,2,1,$100.00,0,23,4.96
27727110,Rental unit in Greater London · ★4.95 · 2 bedrooms · 1 bed · 1 private bath,66422974,Omar,09-04-2016,"London, United Kingdom",N/A,N/A,0,1,1,Haringey,Private room,2,1,$45.00,0,22,4.95
32950334,Rental unit in Greater London · 1 bedroom · 1 bed · 1 shared bath,30850799,Sandeep,08-04-2015,"London, United Kingdom",N/A,N/A,0,1,1,Hammersmith and Fulham,Private room,2,1,$500.00,90,0,
27769949,Rental unit in Greater London · ★4.63 · 2 bedrooms · 2 beds · 1 bath,2125620,Altido,12-04-2012,"London, United Kingdom",99%,95%,0,602,1,Kensington and Chelsea,Entire home/apt,4,2,$170.00,354,40,4.63
27772924,Home in Greater London · ★New · 4 bedrooms · 2 beds · 2.5 baths,22153265,Katie,05-10-2014,"London, United Kingdom",N/A,N/A,0,1,1,Hammersmith and Fulham,Entire home/apt,6,2,,12,0,
27888416,Home in Greater London · ★4.81 · 2 bedrooms · 2 beds · 1 bath,13770205,Stephen,01-04-2014,"London, United Kingdom",100%,99%,1,43,1,Southwark,Entire home/apt,4,2,$270.00,273,47,4.81
27946089,Serviced apartment in Greater London · 1 bedroom · 1 bed · 1.5 shared baths,211094435,Agha,22-08-2018,"England, United Kingdom",N/A,N/A,0,1,1,Newham,Private room,4,1,$45.00,0,0,
32962695,Home in Greater London · 1 bedroom · 1 bed · 1 shared bath,246213215,Alexandros,01-03-2019,"England, United Kingdom",N/A,N/A,0,1,0,Hackney,Private room,1,1,$19.00,0,2,4.5
27960986,Condo in London · ★4.91 · 1 bedroom · 2 beds · 1 bath,3551811,Sam,12-09-2012,"London, United Kingdom",100%,93%,1,5,1,Camden,Entire home/apt,4,2,$140.00,154,34,4.91
27980680,Rental unit in Greater London · ★4.80 · 1 bedroom · 1 bed · 1.5 shared baths,33300765,Baris,13-05-2015,"London, United Kingdom",N/A,N/A,0,5,1,Camden,Private room,1,1,$24.00,0,10,4.8
32980039,Rental unit in London · ★4.94 · 1 bedroom · 1 bed · 1 bath,5849871,Alberto +,09-04-2013,"London, United Kingdom",100%,63%,1,5,1,Islington,Entire home/apt,2,1,$135.00,32,17,4.94
27996181,Rental unit in London · 1 bedroom · 1 bed · 1.5 shared baths,36349148,Andreas,21-06-2015,,N/A,N/A,0,4,1,Lambeth,Private room,1,1,$45.00,0,0,
32999974,Home in Greater London · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,30284467,Andrea,30-03-2015,"Barcelona, Spain",N/A,N/A,0,7,1,Hackney,Private room,1,1,$21.00,0,3,4.67
27998572,Rental unit in Greater London · 2 bedrooms · 2 beds · 2 baths,6163234,Casco Capital,30-04-2013,Panama,100%,100%,0,27,1,Tower Hamlets,Entire home/apt,4,2,$266.00,104,2,5
